normalized_price,Author,date_of_birth,Currency,hasAfter,circleOf,mannerOf,hasFollowers,sale_date,Sign,Technique,Material,Nazi,Framed,square_m,ExhibitedNum,ProvenanceNum,LiteratureNum,CataloguingLength,City,century,nationality,sex,style,repeat_sale,feature1,feature2,day_of_week,month,isUntitled,isNumbered,normalized_estimateto,log_normalized_price,log_normalized_estimateto
104337,Rene Magritte,1898,EUR,1,0,0,0,2019-03-28 00:00:00,1,graphite,paper,0,0,0.0597,1,3,4,0,paris,20,Belgian,M,surrealism,1,�,�,Thursday,3,0,0,70224,11.5554,11.1594
9316.17,Henri de Toulouse-Lautrec,1864,GBP,1,0,0,0,2016-05-02 00:00:00,1,pencil,paper,0,0,0.0271,0,4,1,0,london,19,French,M,post-impressionism,1,earl,disabled,Friday,2,0,0,6203.95,9.13951,8.73294
231016,Tom Wesselmann,1931,GBP,0,0,0,0,2007-09-02 00:00:00,1,oil,canvas,0,0,0.08,0,2,0,0,london,20,American,M,pop-art,1,�,�,Friday,2,0,1,127668,12.3502,11.7572
135501,Camille Pissarro,1830,EUR,1,1,0,0,2015-03-25 00:00:00,1,chalk,paper,0,0,0.0705,3,4,1,1552,paris,19,French,M,impressionism,1,�,�,Wednesday,3,0,0,88371.3,11.8167,11.3893
3.09138e+06,Claude Monet,1840,USD,1,0,1,1,2018-08-05 00:00:00,1,oil,canvas,0,0,0.2845,4,7,4,0,new york,19,French,M,impressionism,1,�,�,Tuesday,5,0,0,3.05437e+06,14.9441,14.9321
157033,Norman Rockwell,1894,USD,1,0,0,0,2013-05-12 00:00:00,1,oil,board,0,0,0.0915,0,4,0,302,new york,20,American,M,realism,1,�,�,Thursday,12,0,0,131693,11.9642,11.7882
478125,Roy Lichtenstein,1923,USD,1,0,0,0,2009-11-11 00:00:00,1,ink,paper,0,0,0.0272,0,3,0,105,new york,20,American,M,pop-art,1,�,�,Wednesday,11,0,0,238334,13.0776,12.3814
1.84081e+06,Pablo Picasso,1881,GBP,1,0,0,0,2011-09-02 00:00:00,1,oil,canvas,0,0,0.1754,0,4,2,1863,london,20,Spaniard,M,cubism,1,migrant,�,Wednesday,2,0,0,1.02971e+06,14.4257,13.8448
7222.53,Camille Pissarro,1830,USD,1,1,0,0,2003-02-27 00:00:00,1,watercolor,paper,0,0,0.014,0,2,0,89,new york,19,French,M,impressionism,1,�,�,Thursday,2,0,0,6948.79,8.88496,8.84632
1.25326e+06,Ernst Ludwig Kirchner,1880,GBP,0,0,0,0,2017-02-28 00:00:00,1,oil,canvas,0,0,0.3974,5,1,3,6504,london,20,German,M,expressionism,1,suicide,�,Tuesday,2,0,0,1.3499e+06,14.0413,14.1155
42886.4,Francis Bacon,1909,GBP,1,0,0,0,2014-09-17 00:00:00,1,lithograph,paper,0,0,0.2875,0,0,1,0,london,20,English,M,expressionism,1,self-taught,homosexual,Wednesday,9,0,1,27954.1,10.6663,10.2383
80936.8,Maurice de Vlaminck,1876,EUR,1,0,0,0,2018-03-23 00:00:00,1,oil,toile,0,0,0.1723,0,3,0,156,paris,20,French,M,fauvism,1,�,�,Friday,3,0,0,59580.5,11.3014,10.9951
